year,state,district,candidate,candidate_normalized,party,votes,money_raised
,Florida,18,Brian Mast,mast,Republician,185905,5346574
,Florida,18,Lauren Baer,baer,Democratic,156454,3985312
,Florida,19,Francis Rooney,rooney,Republician,211465,697653
,Florida,19,David Holden,holden,Democratic,138106,471080
,Florida,20,Alcee L Hastings,hastings,Democratic,202635,755766
,Florida,20,Jay Bonner,bonner,Republician,,4480
,Florida,21,Lois J Frankel,frankel,Democratic,,925861
,Florida,22,Ted Deutch,deutch,Democratic,184634,1183543
,Florida,22,Nicolas Kimaz,kimaz,Republician,113049,163008
,Florida,23,Debbie Wasserman Schultz,wassermanschultz,Democratic,161611,1973238
,Florida,23,Tim Canova,canova,Independent,,505936
,Florida,23,Joe Kaufman,kaufman,Republician,99446,114706
,Florida,23,Donald Endriss,endriss,Independent,,7023
,Florida,24,Frederica Wilson,wilson,Democratic,,346352
,Florida,25,Mario Diaz-Balart,diazbalart,Republician,128672,2111135
,Florida,25,Mary Barzee Flores,barzeeflores,Democratic,84173,1947406
,Florida,26,Carlos Curbelo,curbelo,Republician,115678,4751998
,Florida,26,Debbie Mucarsel-Powell,mucarselpowell,Democratic,119797,3747206
,Florida,27,Donna Shalala,shalala,Democratic,130743,3402023
,Florida,27,Maria Elvira Salazar,salazar,Republician,115588,1542470
,Florida,27,Mayra Joli,joli,Independent,,75009
,Texas,1,Louis B Gohmert Jr,gohmert,Republician,167734,764026
,Texas,1,Shirley McKellar,mckellar,Democratic,60957,46999
,Texas,1,Jeff Callaway,callaway,Libertarian,,0
,Texas,2,Dan Crenshaw,crenshaw,Republician,139012,1621035
,Texas,2,Tood Litton,litton,Democratic,119708,1410481
,Texas,2,Scott Ralston Cubbler,cubbler,Independent,,31651
,Texas,2,Patrick Gunnels,gunnels,Libertarian,,0
,Texas,2,James Kong,kong,Libertarian,,0
,Texas,3,Van Taylor,taylor,Republician,168775,3404572
,Texas,3,Lorie Burch,burch,Democratic,137547,289176
,Texas,3,Robert Mason,mason,Third,,0
,Texas,3,Chris Claytor,claytor,Libertarian,,0
,Texas,4,John Lee Ratclieffe,ratcliffe,Republician,188003,703026
,Texas,4,Catherine Krantz,krantz,Democratic,57209,30705
,Texas,4,Ken Ashby,ashby,Libertarian,,0
,Texas,5,Lance Gooden,gooden,Republician,130508,859489
,Texas,5,Dan Wood,wood,Democratic,78638,110489
,Texas,5,Ben Leder,leder,Libertarian,,0
,Texas,6,Jana Lynne Sanchez,sanchez,Democratic,135908,642902
,Texas,6,Ron Wright,wright,Republician,116302,574638
,Texas,6,Glenn Adair,adair,Libertarian,,508
,Texas,6,Jason Allen Harber,harber,Libertarian,,0
,Texas,7,John Culberson,culerson,Republician,115418,2967941
,Texas,7,Lizzie Fletcher,fletcher,Democratic,127568,5325090
,Texas,8,Kevin Brady,brady,Republician,200367,5039143
,Texas,8,Steven David,david,Democratic,67748,33197
,Texas,8,Bert Aguin,aguin,Libertarian,,0
,Texas,8,Crhis Duncan,duncan,Libertarian,,0
,Texas,9,Al Green,green,Democratic,135941,545427
,Texas,9,Kesha Rogers,rogers,Independent,5018,49677
,Texas,9,Benjamin Hernandez,hernandez,Independent,5766,15195
,Texas,9,Phil Kurtz,kurtz,Libertarian,5928,0
,Texas,10,Michael McCaul,mccaul,Republician,154807,1618946
,Texas,10,Mike Siegal,siegel,Democratic,142728,437883
,Texas,10,Mike Ryan,ryan,Libertarian,,0
,Texas,10,Bill Kelsey,kelsey,Libertarian,,0
,Texas,11,Mike Conaway,conaway,Republician,174749,2115568
,Texas,11,Jennie Lou Leeder,leeder,Democratic,40028,80908
,Texas,11,Rhett Smith,smith,Libertarian,,0
,Texas,11,Nicholas Landholt,landholt,Libertarian,,0
,Texas,12,Kay Granger,granger,Republician,172471,1927528
,Texas,12,Vanessa Adla,adia,Democratic,90970,198043
,Texas,12,Jacob Leddy,leddy,Libertarian,,0
,Texas,13,Mac Thornberry,thornberry,Republician,168090,1314917
,Texas,13,Greg Sagan,sagan,Democratic,34859,39189
,Texas,13,Calvin DeWeese,deweese,Libertarian,,0
,Texas,14,Randy Weber,weber,Republician,138342,692907
,Texas,14,Adrienne Bell,bell,Democratic,91663,180312
,Texas,14,Don Conley III,conley,Libertarian,,0
,Texas,15,Vicente Gonzalez,gonzalez,Democratic,98089,1238713
,Texas,15,Tim Westley,westley,Republician,63593,16570
,Texas,15,Anthony Cristo,cristo,Libertarian,,0
,Texas,15,Ross Leone,Leone,Libertarian,,0
,Texas,16,Veronica Escobar,escobar,Democratic,122676,1340403
,Texas,16,Rick Seeberger,seeberger,Republician,48495,48350
,Texas,16,Samuel Lee Williams Jr,williams,Independent,,5929
,Texas,16,Mackenzie Grubbs,grubbs,Libertarian,,0
,Texas,17,Bill Flores,flores,Republician,134375,1231487
,Texas,17,Rick Kennedy,kennedy,Democratic,97574,80009
,Texas,17,Peter Churchman,churchman,Libertarian,,0
,Texas,17,Nicholas Becker,becker,Libertarian,,0
,Texas,18,Sheila Jackson Lee,jacksonlee,Democratic,138423,686423
,Texas,18,Ava Pate,pate,Republician,38306,10683
,Texas,18,Luke Spencer,spencer,Libertarian,,7507
,Texas,18,Jessica Peterka,peterka,Independent,,0
,Texas,19,Jodey Arrington,arrington,Republician,152012,1209959
,Texas,19,Miguel Levario,levario,Democratic,49941,86833
,Texas,20,Joaquin Castro,castro,Democratic,138249,893640
,Texas,20,Robert Steven Hostetler,hostetler,Independent,,0
